actividad;num_resenas;valoracion;categoria;ubicacion
Paseo de la Florida;13;4.0;Parks;Logrono
Castillo de Clavijo;27;4.0;Castles;Clavijo
Sala Amos Salvador;6;4.5;Art Museums;Logrono
Finca Ribavellosa;9;5.0;Hiking Trails;Ribabellosa
Centro de la Cultura del Rioja;52;3.5;Art Museums;Logrono
Chorrones de Pena Puerta;6;4.5;Waterfalls;Viguera
Monumento al Sagrado Corazón de Jesús;11;4.5;Monuments & Statues;Torrecilla en Cameros
Ermita de Santa Barbara;5;4.0;Churches & Cathedrals;Ezcaray
Ruta de Las Neveras;3;4.5;Hiking Trails;Sojuela
Santuario de Santa Maria de la Estrella;10;4.0;Religious Sites;San Asensio
Piscinas Municipales;4;4.0;Sports Complexes;Torrecilla en Cameros
Cines 7 Infantes;15;3.5;Theaters;Logrono
Bodegas Tobia;10;4.5;Wineries & Vineyards;Cuzcurrita de Rio Tiron
Escape Room Logrono;328;5.0;Escape Games;Logrono
Monumento a la Valvanerada;4;5.0;Monuments & Statues;Logrono
Chimenea de La Antigua Tabacalera;20;3.5;Points of Interest & Landmarks;Logrono
Bodegas Mazuela;8;5.0;Wineries & Vineyards;Cenicero
Bodegas Berceo;6;4.5;Wineries & Vineyards;Haro
Alfareria Naharro;2;4.5;Factory Outlets;Navarrete
Bodegas Paco Garcia;9;5.0;Wineries & Vineyards;Murillo del Rio Leza
Senda De Los Dinosaurios;6;4.0;Points of Interest & Landmarks;Enciso
Uvas y Vino;10;5.0;Wineries & Vineyards;Aldeanueva de Ebro
Bodegas Vina Laguardia S L;14;4.5;Wineries & Vineyards;El Villar
Museo del Torreón;18;4.0;Art Museums;Haro
Embalse de Mansilla;4;4.5;Bodies of Water;Mansilla de la Sierra
Ermita de San Juan Santo Cristo de Los Remedios;26;4.0;Churches & Cathedrals;Briones
Bodegas Betolaza;4;5.0;Wineries & Vineyards;Briones
Bodegas Perica;7;4.5;Wineries & Vineyards;San Asensio
Iglesia de San Servando y San German;6;4.5;Religious Sites;Arnedillo
Ilurce Bodegas y Vinedos;5;5.0;Wineries & Vineyards;Alfaro
Fuente del Peregrino;11;4.0;Fountains;Logrono
Club de Golf Sojuela;25;4.0;Golf Courses;Sojuela
Puente de Hierro;11;4.0;Bridges;Logrono
San Esteban de Viguera;7;5.0;Points of Interest & Landmarks;Albelda de Iregua
Junguitu ¿Hablamos de Vino?;8;4.5;Wineries & Vineyards;Brinas
Eureka! Escape-Room;227;4.5;Escape Games;Logrono
Oficina de Turismo de Alfaro;10;4.5;Visitor Centers;Alfaro
Oficina de Turismo de Arnedillo;14;4.0;Visitor Centers;Arnedillo
Oficina de Turismo Calahorra;4;5.0;Visitor Centers;Calahorra
Ayuntamiento De Sajazarra;13;3.5;Government Buildings;Sajazarra
Bodegas Marques de Arviza;8;4.0;Wineries & Vineyards;Fuenmayor
Parroquia Santa Maria La Mayor;14;4.5;Churches & Cathedrals;San Vicente de la Sonsierra
Ermita de San Pedro;4;4.5;Points of Interest & Landmarks;Torrecilla en Cameros
Exposición Permanente de los Pasos de la Semana Santa Calagurritana;3;4.5;Art Museums;Calahorra
Bodegas Valoria;4;5.0;Wineries & Vineyards;Logrono
Ayuntamiento de Fuenmayor;6;4.0;Architectural Buildings;Fuenmayor
Oficina de Turismo Briones;15;4.0;Visitor Centers;Briones
Bodegas Hermanos Peciña S.l;6;4.5;Wineries & Vineyards;San Vicente de la Sonsierra
El Campo de Logrono;33;4.0;Golf Courses;Logrono
Bodegas González Puras;3;5.0;Wineries & Vineyards;San Asensio
Monasterio de Santa Maria del Salvador;7;4.5;Churches & Cathedrals;Canas
Oficina de Turismo;8;4.0;Visitor Centers;
Oficina de Turismo de Najera;11;3.5;Visitor Centers;Najera
Parroquia de San Miguel Arcángel;10;4.5;Religious Sites;Cuzcurrita de Rio Tiron
Piscinas Municipales;1;3.0;Sports Complexes;
Muralla Medieval;28;3.5;Points of Interest & Landmarks;Santo Domingo de la Calzada
Puente de Piedra;14;3.5;Piers & Boardwalks;Logrono
Marques de Teran;3;5.0;Wineries & Vineyards;Ollauri
Santuario de la Virgen de Tomalos;3;4.5;Points of Interest & Landmarks;Torrecilla en Cameros
Fuertes Gourmet;77;5.0;Speciality & Gift Shops;Calahorra
Museo de Ciencias Naturales de Arnedo;0;;Speciality Museums;Arnedo
Back In Time;0;;Escape Games;Logrono
Iglesia De Santa Ana;0;;Churches & Cathedrals;Cervera del Rio Alhama
Iglesia de la Asunción;0;;Churches & Cathedrals;Hornos de Moncalvillo
Ermita virgen del villar;0;;Churches & Cathedrals;Pradillo
Iglesia Parroquial de La Asunción;0;;Churches & Cathedrals;Villamediana de Iregua
Ermita San Antonio De Padua;0;;Religious Sites;Cervera del Rio Alhama
Senorio de Valbornedo;0;;Wineries & Vineyards;Navarrete
Bodegas Latente;0;;Wineries & Vineyards;Albelda de Iregua
Bodega Beleluin;0;;Wineries & Vineyards;Alcanadre
Kauri Salud y Bienestar;0;;Spas;Logrono
Monasterio de San Prudencio;0;;Ancient Ruins;Clavijo
Iglesia de Villanueva de Cameros;0;;Churches & Cathedrals;Villanueva de Cameros
Ermita De Lollano;0;;Churches & Cathedrals;Villanueva de Cameros
Carlos Capin Suarez;0;;Taxis & Shuttles;Haro
Parroquia De Nuestra Señora De La Asunción;0;;Churches & Cathedrals;Nalda
Violeta Betolaza Román. Decoración En Cerámica.;0;;Speciality & Gift Shops;Tricio
Campo Miel;0;;Lessons & Workshops;Logrono
Iglesia de San Martín;0;;Churches & Cathedrals;Pradillo
Ermita Ntra. Sra. de los Nogales;0;;Churches & Cathedrals;Villanueva de Cameros
Church of San Saturnino;0;;Churches & Cathedrals;Ventosa
Iglesia de San Martín;0;;Churches & Cathedrals;Albelda de Iregua
Iglesia De San Martín;0;;Churches & Cathedrals;Casalarreina
Bodegas Obalo;0;;Wineries & Vineyards;Abalos
Quickgold Logroño;0;;Speciality & Gift Shops;Logrono
BODEGAS TARÓN;0;;Nature & Wildlife Tours;
Plaza de toros La Ribera;0;;Parks;
Iglesia de la Asunción;0;;Churches & Cathedrals;
Spain Transfers;0;;Taxis & Shuttles;
Logroaventura;0;;Climbing Tours;
Elemental Escape Room;126;5.0;Escape Games;Logrono
Barranco de la Hoz;17;4.5;Geologic Formations;Ventosa
Castillo de Davalillo;26;4.0;Points of Interest & Landmarks;San Asensio
Bodegas Marques de Reinosa;13;5.0;Wineries & Vineyards;Autol
Museo Najerillense;32;3.5;Speciality Museums;Najera
Reserva Natural de Los Sotos de Alfaro;9;5.0;Nature & Wildlife Areas;Alfaro
Viñedos De Sonsierra;17;5.0;Wineries & Vineyards;San Vicente de la Sonsierra
Colelegiata De San Miguel;8;5.0;Churches & Cathedrals;Alfaro
Abadía cisterciense;9;4.0;Churches & Cathedrals;Santo Domingo de la Calzada
Enoteca Crixto-14;70;4.5;Bars & Clubs;Logrono
Espacio Lagares;9;4.5;Speciality Museums;Logrono
Calado;151;5.0;Wineries & Vineyards;Logrono
Alcazar de Nájera;8;3.5;Ancient Ruins;Najera
Palacio del Marques de San Nicolas;31;4.0;Points of Interest & Landmarks;Briones
Ermita de la Virgen de la Plaza;29;4.0;Churches & Cathedrals;Santo Domingo de la Calzada
Convento de San Francisco;11;4.5;Points of Interest & Landmarks;Santo Domingo de la Calzada
AK Museum;2;5.0;Speciality Museums;Logrono
Oficina de Turismo de Haro;36;4.0;Visitor Centers;Haro
Ampliación a Victoria;5;4.5;Mines;Navajun
Monasterio de San José;8;4.0;Churches & Cathedrals;Calahorra
Camino Verde del Alhama Cervera del Río Alhama;18;4.5;Hiking Trails;Cervera del Rio Alhama
Barrio de la Estación de Haro;2;5.0;Wineries & Vineyards;Haro
Oficina de Turismo de Arnedo;12;4.5;Visitor Centers;Arnedo
Iglesia de San Cosme y San Damian;12;4.5;Visitor Centers;Arnedo
Bodega - Hotel FyA;44;4.5;Wineries & Vineyards;Navarrete
Ermita de Santa Maria de la Piscina;34;4.5;Religious Sites;San Vicente de la Sonsierra
Ayuntamiento Santo Domingo De La Calzada;22;4.0;Government Buildings;Santo Domingo de la Calzada
Monasterio de la Luz;9;4.5;Churches & Cathedrals;Canas
Estatua de la Libertad;11;4.0;Points of Interest & Landmarks;Cenicero
Bodega CM de Matarromera;14;5.0;Wineries & Vineyards;San Vicente de la Sonsierra
Tobelos Bodegas y Vinedos;24;5.0;Wineries & Vineyards;Brinas
Bodegas Bilbainas;267;4.5;Wineries & Vineyards;Haro
Basilica de Santa Maria de los Arcos;36;5.0;Churches & Cathedrals;Tricio
Bodegas Martinez Alesanco;24;5.0;Wineries & Vineyards;Badaran
Dolmen La Chabola de la Hechicera;22;4.5;Points of Interest & Landmarks;El Villar
Museo de la Romanización;18;4.5;Art Museums;Calahorra
Torre Exenta;24;4.5;Points of Interest & Landmarks;Santo Domingo de la Calzada
Monasterio de Nuestra Señora de Vico;20;4.5;Religious Sites;Arnedo
Contrebia Leucade;24;4.5;Ancient Ruins;Aguilar del Rio Alhama
La Senda Del Agua;6;5.0;Waterfalls;Matute
Iglesia Santa Maria de Palacio;84;4.0;Churches & Cathedrals;Logrono
Bodegas Santalba;26;5.0;Wineries & Vineyards;Gimileo
Bodegas Amézola de la Mora;51;5.0;Wineries & Vineyards;Torremontalbo
Bodegas Alvia;42;5.0;Wineries & Vineyards;Ventosa
Bodegas Castillo de Mendoza;18;5.0;Wineries & Vineyards;San Vicente de la Sonsierra
Monasterio de Santa Maria de San Salvador;55;4.5;Religious Sites;Canas
Karting Rioja;77;4.5;Game & Entertainment Centers;Logrono
Bodega Contador;26;4.5;Wineries & Vineyards;San Vicente de la Sonsierra
Teatro Breton;23;4.5;Theaters;Logrono
Castillo De Arnedo;5;4.5;Ancient Ruins;Arnedo
Museo de la Verdura;33;3.5;Speciality Museums;Calahorra
Basilica de Nuestra Senora de la Vega;42;4.0;Churches & Cathedrals;Haro
Monasterio Cisterciense de Canas;32;4.5;Churches & Cathedrals;Canas
Puente Romano Del Priorato;12;4.5;Bridges;Cihuri
La Frikileria;184;5.0;Speciality & Gift Shops;Logrono
Museo del Calzado. Basilio García;8;4.5;Speciality Museums;Arnedo
Bodegas Ramirez de la Piscina;11;5.0;Wineries & Vineyards;San Vicente de la Sonsierra
Hoplita Historic Vineyards;8;5.0;Wineries & Vineyards;Logrono
Ayuntamiento de Ezcaray;24;3.5;Architectural Buildings;Ezcaray
Oficina de Turismo de La Rioja;33;4.0;Visitor Centers;Logrono
Enocuatro S.l;0;;;
Gominolo;0;;;
Hiper Del Repuesto;0;;;
Franlik Imexport Spain;0;;;
Bodegas Fernández Eguiluz Peña La Rosa;0;;;
EuroWineTours.com;0;;;
Bodegas Aradón;0;;;
Bodegas Martínez Palacios;0;;;
Bodegas Ochagavia;0;;;
Vino Y Algo Mas;0;;;
Havefun Logroño;0;;;
Cocinados Gran Via;0;;;
Go Travel Tour;0;;;
Playabus;0;;;
Drippin Vintage;0;;;
Parque Del Iregua;0;;;
Santa Juliana Park;0;;;
Macrobert & Canals;0;;;
Bodegas La Eralta;0;;;
Rocódromo Rawindoor;0;;;
Chuchespress;0;;;
Del Valle;0;;;
Vidrieras Susi Y Julián;0;;;
Complejo Deportivo El Mazo;0;;;
Antártica;0;;;
Abuelo;0;;;
Alberto Gutiérrez Andrés;0;;;
Bar El Parlamento;0;;;
Dir Rioja;0;;;
Mercería La Cinta Roja;0;;;
Calle del Laurel;3669;4.5;Points of Interest & Landmarks;Logrono
Tierra Rapaz;1555;5.0;Zoos;Calahorra
Marques de Murrieta;462;5.0;Wineries & Vineyards;Logrono
Bodegas Lecea;1036;5.0;Wineries & Vineyards;San Asensio
Bodegas Franco Espanolas;1428;4.5;Wineries & Vineyards;Logrono
Bodegas Muga;890;4.5;Wineries & Vineyards;Haro
Vivanco;1009;4.5;Wineries & Vineyards;Briones
Bodegas Campo Viejo;253;5.0;Wineries & Vineyards;Logrono
Bodegas y Vinedos Gomez Cruzado;591;4.5;Wineries & Vineyards;Haro
Bodegas Tritium;722;5.0;Wineries & Vineyards;Cenicero
Animales zoo riojanatura;325;5.0;Zoos;Santo Domingo de la Calzada
Bodegas Manzanos Haro;283;5.0;Wineries & Vineyards;Haro
Bodega La Rioja Alta S.A.;614;4.5;Wineries & Vineyards;Haro
Bodegas Lopez de Heredia Vina Tondonia;591;4.5;Wineries & Vineyards;Haro
Monasterio de Yuso;743;4.5;Points of Interest & Landmarks;San Millan de la Cogolla
Bodega Conde de los Andes;254;5.0;Wineries & Vineyards;Ollauri
Arizcuren Bodega & Viñedos;156;5.0;Wineries & Vineyards;Logrono
Pozas de Aguas Termales de Arnedillo;186;4.0;Thermal Spas;Arnedillo
Calle San Juan;335;4.5;Points of Interest & Landmarks;Logrono
CVNE Vino;553;4.5;Wineries & Vineyards;Haro
Monasterio de Santa Maria La Real;360;4.5;Religious Sites;Najera
Cueva de los Cien Pilares;92;4.5;Caverns & Caves;Arnedo
Bodegas David Moreno;345;4.5;Wineries & Vineyards;Badaran
Bodegas Ontañón, El Templo del Vino;243;4.5;Wineries & Vineyards;Logrono
San Millan Suso Monastery;446;4.0;Historic Sites;San Millan de la Cogolla
Bodegas Vina Ijalba S.A.;154;5.0;Wineries & Vineyards;Logrono
Bodegas Ramon Bilbao;299;4.0;Wineries & Vineyards;Haro
Concatedral de Santa Maria de la Redonda;640;4.0;Churches & Cathedrals;Logrono
Museo de la Rioja;244;4.5;Speciality Museums;Logrono
Bodegas Marqués De Cáceres;138;4.5;Wineries & Vineyards;Cenicero
Cuevas de Ortigosa de Cameros;91;4.0;Caverns & Caves;Ortigosa De Cameros
Bodegas Finca La Emperatriz;98;5.0;Wineries & Vineyards;Banos de Rioja
Bodegas Olarra;60;4.5;Wineries & Vineyards;Logrono
Bodega Finca Valpiedra;83;4.5;Wineries & Vineyards;Fuenmayor
Mercado de San Blas;105;3.5;Points of Interest & Landmarks;Logrono
Iglesia Santa Maria la Mayor;47;4.5;Churches & Cathedrals;Ezcaray
Bodegas Valenciso;128;5.0;Wineries & Vineyards;Ollauri
Ermita de San Felices de Bilibio;54;4.5;Religious Sites;Haro
Jardín Botánico de La Rioja;33;5.0;Parks;Azofra
Centro Comercial Berceo;32;4.0;Shopping Malls;Logrono
Bodegas Valentin Pascual;86;5.0;Wineries & Vineyards;Cenicero
Iglesia de Santiago el Real;111;4.0;Churches & Cathedrals;Logrono
Calle Portales;43;4.5;Points of Interest & Landmarks;Logrono
Bodegas Marques de Vargas;20;4.5;Wineries & Vineyards;Logrono
Castillo De San Vicente;64;4.5;Castles;San Vicente de la Sonsierra
La Casa Encantada;65;4.0;Speciality Museums;Briones
Castillo de Cuzcurrita Wine Cellar;39;4.5;Wineries & Vineyards;Cuzcurrita de Rio Tiron
Catedral de Santa Maria;97;4.0;Churches & Cathedrals;Calahorra
Bodegas LAN;46;5.0;Wineries & Vineyards;Fuenmayor
Pantano de La Grajera;19;4.5;Bodies of Water;Logrono
Centro historico de Haro;28;4.0;Points of Interest & Landmarks;Haro
Centro de Interpretacion Paleontologica de La Rioja;57;4.0;Science Museums;Igea
Tobelos Bodegas y Vinedos;24;5.0;Wineries & Vineyards;Brinas
Bodegas Montecillo;28;4.5;Wineries & Vineyards;Navarrete
Iglesia de Nuestra Senora de la Asuncion;76;4.5;Churches & Cathedrals;Briones
Monasterio de Nuestra Senora de la Piedad;72;4.5;Religious Sites;Casalarreina
Aqualar;7;3.5;Water Parks;Lardero
Fabrica De Harinas La Gloria;22;5.0;Speciality Museums;San Millan de la Cogolla
El Cubo de Revellin;114;4.0;Historic Sites;Logrono
Bodegas Bilbainas;267;4.5;Wineries & Vineyards;Haro
Bodega Viña Real;109;4.5;Wineries & Vineyards;Logrono
Parque Natural Sierra Cebollera;133;4.5;National Parks;Villoslada de Cameros
Cathedral of Santo Domingo de la Calzada;311;4.5;Religious Sites;"Santo Domingo de la Calzada
"
Bodegas Martinez Lacuesta;142;4.5;Wineries & Vineyards;Haro
La Bodega del Tesoro;64;5.0;Wineries & Vineyards;Cuzcurrita de Rio Tiron
Bohedal Bodega Boutique;268;5.0;Wineries & Vineyards;Cuzcurrita de Rio Tiron
Mirador de las Ciguenas;143;4.5;Points of Interest & Landmarks;Alfaro
Bodegas Riojanas;173;4.5;Wineries & Vineyards;Cenicero
Bodegas Roda;163;4.5;Wineries & Vineyards;Haro
Altanza;133;5.0;Wineries & Vineyards;Fuenmayor
Catedral de El Salvador de Santo Domingo de la Calzada;221;4.5;Churches & Cathedrals;Santo Domingo de la Calzada
Bodegas Urbina;174;5.0;Wineries & Vineyards;Cuzcurrita de Rio Tiron
Bodegas Faustino Rivero Ulecia;31;5.0;Wineries & Vineyards;Arnedo
Iglesia de San Bartolome;274;4.5;Religious Sites;Logrono
Bodega Hacienda Lopez de Haro;41;5.0;Wineries & Vineyards;San Vicente de la Sonsierra
Bodegas TIHOM;17;5.0;Wineries & Vineyards;Haro
Paseo del Espolon;213;4.0;Points of Interest & Landmarks;Logrono
El Barranco Perdido;187;3.0;Amusement & Theme Parks;Enciso
Bodegas Beronia;72;4.5;Wineries & Vineyards;Ollauri
Casa de Las Ciencias;165;4.0;Speciality Museums;Logrono
Iglesia Nuestra Senora de la Asuncion;62;5.0;Religious Sites;Navarrete
Arnedo Shopping Factory;7;3.5;Factory Outlets;Arnedo
Church of Santo Tomas;132;4.5;Churches & Cathedrals;Haro
Parque del Ebro;117;4.5;Parks;Logrono
Castillo de Sajazarra;42;4.5;Castles;Sajazarra
Valdezcaray;161;3.5;Ski & Snowboard Areas;Ezcaray
Miguel Merino Winery;63;5.0;Wineries & Vineyards;Briones
Monastery of Valvanera;122;4.0;Points of Interest & Landmarks;Anguiano
Museo Wurth La Rioja;72;4.5;Art Museums;Agoncillo
Via Verde del Oja;35;4.5;Biking Trails;Ezcaray
Capitan Haddock Cafe & Parque Infantil;5;4.5;Bars & Clubs;Najera
La Rioja Bike Tours;67;5.0;Bike Tours;Logrono
Anastasiya Gastrobar;2;5.0;Bars & Clubs;Logrono
Riojatrek;310;5.0;Wine Tours & Tastings;Logrono
Vinoteca Rodriguez Alonso;9;3.0;Bars & Clubs;Haro
Badaran Que Hablar;1;5.0;Wineries & Vineyards;Badaran
Discoteca Concept;3;3.5;Dance Clubs & Discos;Logrono
Taxi Jose Haro;2;5.0;Taxis & Shuttles;Haro
Cafe Boulevard;16;4.0;Bars & Clubs;Arnedo
La Fama;9;3.0;Bars & Clubs;Logrono
Tierra de Sabores (Wine Shop);3;4.5;Speciality & Gift Shops;Logrono
Centro Ecuestre Villarrica;2;5.0;Horseback Riding Tours;San Asensio
Zhivago Cafe;9;4.0;Bars & Clubs;Logrono
Bodegas Alicia Rojas;;;Wineries & Vineyards;Ausejo
Riojaforum;1;5.0;Convention Centers;Logrono
Licoreria Virgen Del Cisne;1;5.0;Wineries & Vineyards;Hormilleja
EL RINCON DE LA CANELA;9;3;Bars & Clubs;Casalarreina
Atipyca;2;4.5;Speciality & Gift Shops;Logrono
Calado de Catas El Legado;45;5.0;Wine Tours & Tastings;Cenicero
Vinun Ad Amicus;4;5.0;Wine Bars;Banares
Vinos Castro;0;;Wineries & Vineyards;Santo Domingo de la Calzada
BAR DEL Castillo;5;4.0;Bars & Clubs;San Asensio
Chamberi Villamediana;8;4.5;Bars & Clubs;Villamediana de Iregua
Cafeteria Medievo;0;;Bars & Clubs;Santo Domingo de la Calzada
